generation,length,examples,loss,accuracy,current_max_length,attention_top_k,active_heads,active_head_indices,checkpoint
8000,2,256,9.126553968030748e-05,1.0,20,1,4,"[[0, 1, 2, 3], [0, 1, 2, 3]]",artifacts/hard_attention_eggroll/cartesian-p8192-b64-bf16-2gpu-chunk256-trainstreak10-lr3e-1-seed7/checkpoint_008000.pt
8000,5,256,3.106395524810068e-05,1.0,20,1,4,"[[0, 1, 2, 3], [0, 1, 2, 3]]",artifacts/hard_attention_eggroll/cartesian-p8192-b64-bf16-2gpu-chunk256-trainstreak10-lr3e-1-seed7/checkpoint_008000.pt
8000,10,256,0.00023180971356850932,1.0,20,1,4,"[[0, 1, 2, 3], [0, 1, 2, 3]]",artifacts/hard_attention_eggroll/cartesian-p8192-b64-bf16-2gpu-chunk256-trainstreak10-lr3e-1-seed7/checkpoint_008000.pt
8000,20,256,0.01272436272847699,0.99609375,20,1,4,"[[0, 1, 2, 3], [0, 1, 2, 3]]",artifacts/hard_attention_eggroll/cartesian-p8192-b64-bf16-2gpu-chunk256-trainstreak10-lr3e-1-seed7/checkpoint_008000.pt
8000,40,256,0.1198047511279583,0.96875,20,1,4,"[[0, 1, 2, 3], [0, 1, 2, 3]]",artifacts/hard_attention_eggroll/cartesian-p8192-b64-bf16-2gpu-chunk256-trainstreak10-lr3e-1-seed7/checkpoint_008000.pt
8000,80,256,0.3356999568641186,0.92578125,20,1,4,"[[0, 1, 2, 3], [0, 1, 2, 3]]",artifacts/hard_attention_eggroll/cartesian-p8192-b64-bf16-2gpu-chunk256-trainstreak10-lr3e-1-seed7/checkpoint_008000.pt
8000,100,256,0.7640416175127029,0.8671875,20,1,4,"[[0, 1, 2, 3], [0, 1, 2, 3]]",artifacts/hard_attention_eggroll/cartesian-p8192-b64-bf16-2gpu-chunk256-trainstreak10-lr3e-1-seed7/checkpoint_008000.pt
8000,200,256,1.3525773733854294,0.7890625,20,1,4,"[[0, 1, 2, 3], [0, 1, 2, 3]]",artifacts/hard_attention_eggroll/cartesian-p8192-b64-bf16-2gpu-chunk256-trainstreak10-lr3e-1-seed7/checkpoint_008000.pt
8000,400,256,2.565119504928589,0.63671875,20,1,4,"[[0, 1, 2, 3], [0, 1, 2, 3]]",artifacts/hard_attention_eggroll/cartesian-p8192-b64-bf16-2gpu-chunk256-trainstreak10-lr3e-1-seed7/checkpoint_008000.pt
8000,600,64,2.5065656900405884,0.671875,20,1,4,"[[0, 1, 2, 3], [0, 1, 2, 3]]",artifacts/hard_attention_eggroll/cartesian-p8192-b64-bf16-2gpu-chunk256-trainstreak10-lr3e-1-seed7/checkpoint_008000.pt
